Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
5,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.06207170214523156,0.011370204405461984,0.0064605609286998,0.06207170214523156,7.076033864702497
6,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.062071702145231555,0.011370204405461984,0.0064605609286998,0.062071702145231555,7.103164264133999
7,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.06207170214523156,0.011370204405461987,0.006460560928699801,0.06207170214523156,7.150841576712472
8,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.07350027357380298,0.02669393456826612,0.029365612400990483,0.07350027357380298,7.23541876247951
9,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.13332711340064282,0.07173680005420961,0.061569604627843236,0.13332711340064282,7.3531665461403986
10,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.12468892593892593,0.0773693454995976,0.06413743973358774,0.12468892593892593,7.528651680265154
11,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.1381246687864335,0.07280308149809474,0.07458585794782038,0.1381246687864335,7.80891524042402
12,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.14475345666522138,0.07219306341346066,0.07229141209248091,0.14475345666522138,8.233925070081439
13,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.1770586514704162,0.09363900129925726,0.07789475188140185,0.1770586514704162,8.848099504198347
14,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.21135516245810362,0.1288540661290267,0.1163820355803262,0.21135516245810362,9.464513846806117
15,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.1548562447091859,0.05781879929726174,0.046414365666239785,0.1548562447091859,10.302734647478376
16,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.12127161921279568,0.030005366521638703,0.017342218213187117,0.12127161921279568,11.902969905308314
17,7,10,512,100,5,32,0.01,0.1,10,1.0,fedadam,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,0.99,15,0.0,0.12127161921279568,0.030005366521638703,0.017342218213187117,0.12127161921279568,14.606651169913155
