Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
23,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8850242287742288,0.8885781707751405,0.9292778574028574,0.8850242287742288,2.9558284680048623
24,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8764759077259078,0.8747515569485266,0.9127191111566112,0.8764759077259078,3.5344828565915427
25,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8753839066339065,0.8750750209083543,0.9220469454844454,0.8753839066339065,3.3637346426645913
26,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8641908954408954,0.8632625632625633,0.9132214600964601,0.8641908954408954,3.0903426806131997
27,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8663748976248976,0.8648782804085835,0.9038193022568022,0.8663748976248976,3.300638477007548
28,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8655985530985532,0.8634546967880302,0.9045643655018655,0.8655985530985532,3.210263192653656
29,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8620068932568933,0.8719845780451841,0.9251160657410659,0.8620068932568933,3.1014284094174704
30,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8836165711165712,0.8885262968596302,0.9327961484211483,0.8836165711165712,3.639455556869507
31,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.855497542997543,0.8561237070706768,0.9047271703521704,0.855497542997543,3.005733092625936
32,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.866059241059241,0.8625178030481059,0.9054590101465102,0.866059241059241,3.749415417512258
33,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8357562107562108,0.8342266988100322,0.8812436421811422,0.8357562107562108,3.2880921363830566
34,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.863414550914551,0.8628874128874129,0.9009000951709285,0.863414550914551,3.0153753757476807
35,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8666905541905542,0.8658174074840742,0.90533876002626,0.8666905541905542,3.3896347880363464
36,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.864506552006552,0.8599490932824266,0.900132986070486,0.864506552006552,3.0354758898417153
37,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8450808763308765,0.8462485754152421,0.9127876862251862,0.8450808763308765,3.6007774472236633
38,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.865598553098553,0.8661645494978828,0.9086184195559196,0.865598553098553,3.2709507743517556
39,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8253395440895441,0.8197801815226057,0.8845415017290018,0.8253395440895441,3.941577593485514
40,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8934019246519247,0.8946846905180239,0.9281780766155766,0.8934019246519247,3.163490891456604
41,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8839322276822278,0.887950683784017,0.9262683543933544,0.8839322276822278,2.8189928929011026
42,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8579972017472017,0.8554194345861011,0.9117197148447148,0.8579972017472017,3.6775673230489097
43,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8756995631995631,0.8695464225767257,0.8957305316680317,0.8756995631995631,3.281326154867808
44,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8461728774228775,0.8410562827229494,0.9038841804466804,0.8461728774228775,3.8413782517115274
45,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8652828965328966,0.866224995391662,0.9060582294957295,0.8652828965328966,3.1596046884854636
46,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8281548594048594,0.8239880031546698,0.8684342418717419,0.8281548594048594,3.640134811401367
47,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8338878651378652,0.8307901040855586,0.8795791530166529,0.8338878651378652,4.400757789611816
48,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8270628583128583,0.8233881067214401,0.894118590993591,0.8270628583128583,3.5306030909220376
49,3,10,512,100,5,32,0.01,0.1,10,1.0,fedavg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.8548662298662298,0.8569273641243337,0.9087236384111383,0.8548662298662298,3.66402538617452
1,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.004788117288117288,0.0025238326139546963,0.048636704886704886,7.0328333377838135
2,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.0047881172881172876,0.0025238326139546963,0.048636704886704886,7.050570249557495
3,3,10,512,100,5,32,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.067746723996724,0.030384680345980655,0.04080918631699882,0.067746723996724,7.0360831419626875
